Topic,Problem Name,Difficulty,Key Pattern / Concept,Common In,Link,Solved
Arrays & Hashing,Two Sum,Easy,Hash Map for O(1) Lookups,"NC150, Top 150, SDE",https://leetcode.com/problems/two-sum/,
Arrays & Hashing,Contains Duplicate,Easy,Hash Set for O(1) Lookups,"NC150, Top 150",https://leetcode.com/problems/contains-duplicate/,
Arrays & Hashing,Valid Anagram,Easy,Frequency Array / Hash Map,"NC150, Top 150",https://leetcode.com/problems/valid-anagram/,
Arrays & Hashing,Group Anagrams,Medium,Hashing by Sorted String/Tuple,"NC150, Top 150",https://leetcode.com/problems/group-anagrams/,
Arrays & Hashing,Top K Frequent Elements,Medium,Min-Heap / Bucket Sort,"NC150, Top 150",https://leetcode.com/problems/top-k-frequent-elements/,
Arrays & Hashing,Product of Array Except Self,Medium,Prefix & Postfix Products,"NC150, Top 150, SDE",https://leetcode.com/problems/product-of-array-except-self/,
Arrays & Hashing,Longest Consecutive Sequence,Medium,Hash Set & Intelligent Search,"NC150, Top 150",https://leetcode.com/problems/longest-consecutive-sequence/,
Arrays & Hashing,Encode and Decode Strings,Medium,String Parsing / Delimiters,NC150,https://www.lintcode.com/problem/659/,
Arrays & Hashing,Merge Sorted Array,Easy,Two Pointers (from end),"Top 150, SDE",https://leetcode.com/problems/merge-sorted-array/,
Arrays & Hashing,Remove Element,Easy,Two Pointers,Top 150,https://leetcode.com/problems/remove-element/,
Arrays & Hashing,Remove Duplicates from Sorted Array,Easy,Two Pointers,"Top 150, SDE",https://leetcode.com/problems/remove-duplicates-from-sorted-array/,
Arrays & Hashing,Remove Duplicates from Sorted Array II,Medium,Two Pointers,Top 150,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,
Arrays & Hashing,Majority Element,Easy,Boyer-Moore Voting Algorithm,"Top 150, SDE",https://leetcode.com/problems/majority-element/,
Arrays & Hashing,Rotate Array,Medium,Reversal Algorithm / Cyclic Replacements,"Top 150, SDE",https://leetcode.com/problems/rotate-array/,
Arrays & Hashing,Best Time to Buy and Sell Stock II,Medium,Greedy (Peak/Valley),Top 150,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,
Arrays & Hashing,H-Index,Medium,Sorting / Counting Sort,Top 150,https://leetcode.com/problems/h-index/,
Arrays & Hashing,Insert Delete GetRandom O(1),Medium,Hash Map + Array,"Top 150, SDE",https://leetcode.com/problems/insert-delete-getrandom-o1/,
Arrays & Hashing,Candy,Hard,Greedy (Two Pass),Top 150,https://leetcode.com/problems/candy/,
Arrays & Hashing,Find the Duplicate Number,Medium,Floyd's Cycle Detection / Binary Search,"SDE, NC150",https://leetcode.com/problems/find-the-duplicate-number/,
Arrays & Hashing,First Missing Positive,Hard,Cyclic Sort,"MAANG, SDE",https://leetcode.com/problems/first-missing-positive/,
Arrays & Hashing,Ransom Note,Easy,Hash Map / Frequency Array,Top 150,https://leetcode.com/problems/ransom-note/,
Arrays & Hashing,Isomorphic Strings,Easy,Hash Map,Top 150,https://leetcode.com/problems/isomorphic-strings/,
Arrays & Hashing,Word Pattern,Easy,Hash Map,Top 150,https://leetcode.com/problems/word-pattern/,
Arrays & Hashing,Happy Number,Easy,Floyd's Cycle Detection (Fast/Slow),Top 150,https://leetcode.com/problems/happy-number/,28/07/25
Arrays & Hashing,Contains Duplicate II,Easy,Hash Map with Index,Top 150,https://leetcode.com/problems/contains-duplicate-ii/,
String / Two Pointers,Valid Palindrome,Easy,Converging Pointers,"NC150, Top 150",https://leetcode.com/problems/valid-palindrome/,
String / Two Pointers,Is Subsequence,Easy,Two Pointers,Top 150,https://leetcode.com/problems/is-subsequence/,
String / Two Pointers,Two Sum II - Input Array Is Sorted,Medium,Converging Pointers,"NC150, Top 150",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,
String / Two Pointers,3Sum,Medium,Sort + Two Pointers for each element,"NC150, Top 150, SDE",https://leetcode.com/problems/3sum/,
String / Two Pointers,3Sum Closest,Medium,Sort + Two Pointers,SDE,https://leetcode.com/problems/3sum-closest/,
String / Two Pointers,4Sum,Medium,K-Sum generalization,SDE,https://leetcode.com/problems/4sum/,
String / Two Pointers,Container With Most Water,Medium,Converging Pointers (Greedy),"NC150, Top 150",https://leetcode.com/problems/container-with-most-water/,
String / Two Pointers,Trapping Rain Water,Hard,Two Pointers with Left/Right Max,"NC150, Top 150, SDE",https://leetcode.com/problems/trapping-rain-water/,
String / Two Pointers,Reverse Words in a String,Medium,Two Pointers / String Manipulation,Top 150,https://leetcode.com/problems/reverse-words-in-a-string/,
String / Two Pointers,Find the Index of the First Occurrence in a String,Easy,String Matching (KMP),Top 150,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,
Sliding Window,Best Time to Buy and Sell Stock,Easy,Simple One-Pass Window (Kadane's),"NC150, Top 150, SDE",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
Sliding Window,Longest Substring Without Repeating Characters,Medium,Sliding Window with Hash Set/Map,"NC150, Top 150, SDE",https://leetcode.com/problems/longest-substring-without-repeating-characters/,
Sliding Window,Longest Repeating Character Replacement,Medium,Sliding Window with Frequency Map,NC150,https://leetcode.com/problems/longest-repeating-character-replacement/,
Sliding Window,Permutation in String,Medium,Sliding Window with Frequency Map,NC150,https://leetcode.com/problems/permutation-in-string/,
Sliding Window,Minimum Window Substring,Hard,Two Pointers with Character Counts,"NC150, Top 150, SDE",https://leetcode.com/problems/minimum-window-substring/,
Sliding Window,Sliding Window Maximum,Hard,Deque for efficient max tracking,"NC150, SDE",https://leetcode.com/problems/sliding-window-maximum/,
Sliding Window,Minimum Size Subarray Sum,Medium,Sliding Window,Top 150,https://leetcode.com/problems/minimum-size-subarray-sum/,
Sliding Window,Substring with Concatenation of All Words,Hard,Sliding Window with Hash Map,Top 150,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,
Matrix,Valid Sudoku,Medium,Hash Sets for Rows/Cols/Boxes,"NC150, Top 150",https://leetcode.com/problems/valid-sudoku/,
Matrix,Spiral Matrix,Medium,Layer-by-layer traversal,"NC150, Top 150",https://leetcode.com/problems/spiral-matrix/,
Matrix,Rotate Image,Medium,Transpose and Reflect,"NC150, Top 150, SDE",https://leetcode.com/problems/rotate-image/,
Matrix,Set Matrix Zeroes,Medium,In-place marking (first row/col),"Top 150, SDE",https://leetcode.com/problems/set-matrix-zeroes/,
Matrix,Game of Life,Medium,In-place modification with state encoding,Top 150,https://leetcode.com/problems/game-of-life/,
Matrix,Maximal Square,Medium,2D Dynamic Programming,Classic,https://leetcode.com/problems/maximal-square/,
Stack,Valid Parentheses,Easy,Matching Pairs,"NC150, Top 150",https://leetcode.com/problems/valid-parentheses/,
Stack,Simplify Path,Medium,Stack for Path Manipulation,Top 150,https://leetcode.com/problems/simplify-path/,
Stack,Min Stack,Medium,Two Stacks or Stack of Pairs,"NC150, Top 150",https://leetcode.com/problems/min-stack/,
